"","week","home_team","home_points","away_team","away_points","conference_game"
"358",6,"Toledo",31,"Western Michigan",24,TRUE
"359",6,"Georgia State",52,"Arkansas State",38,TRUE
"360",6,"Northern Illinois",20,"Ball State",27,TRUE
"361",6,"Navy",34,"Air Force",25,FALSE
"362",6,"Middle Tennessee",24,"Marshall",13,TRUE
"363",6,"Kansas State",12,"Baylor",31,TRUE
"364",6,"Minnesota",40,"Illinois",17,TRUE
"365",6,"Florida",24,"Auburn",13,TRUE
"366",6,"West Virginia",31,"Texas",42,TRUE
"367",6,"Miami",35,"Virginia Tech",42,TRUE
"368",6,"Notre Dame",52,"Bowling Green",0,FALSE
"369",6,"Louisiana Monroe",33,"Memphis",52,FALSE
"370",6,"Missouri",42,"Troy",10,FALSE
"371",6,"Georgia Tech",22,"North Carolina",38,TRUE
"372",6,"Nebraska",13,"Northwestern",10,TRUE
"373",6,"Colorado",30,"Arizona",35,TRUE
"374",6,"Old Dominion",3,"Western Kentucky",20,TRUE
"375",6,"Florida International",44,"UMass",0,FALSE
"376",6,"UAB",35,"Rice",20,TRUE
"377",6,"Tennessee",14,"Georgia",43,TRUE
"378",6,"Ohio State",34,"Michigan State",10,TRUE
"379",6,"SMU",43,"Tulsa",37,TRUE
"380",6,"Ole Miss",31,"Vanderbilt",6,TRUE
"381",6,"New Mexico State",13,"Liberty",20,FALSE
"382",6,"Oregon",17,"California",7,TRUE
"383",6,"UTEP",16,"UT San Antonio",26,TRUE
"384",6,"Duke",30,"Pittsburgh",33,TRUE
"385",6,"UCLA",31,"Oregon State",48,TRUE
"386",6,"Colorado State",10,"San Diego State",24,TRUE
"387",6,"Stanford",23,"Washington",13,TRUE
"388",6,"UNLV",13,"Boise State",38,TRUE
"389",7,"Louisiana",7,"Appalachian State",17,TRUE
"390",7,"NC State",16,"Syracuse",10,TRUE
"391",7,"Texas State",14,"Louisiana Monroe",24,TRUE
"392",7,"New Mexico",21,"Colorado State",35,TRUE
"393",7,"Miami",17,"Virginia",9,TRUE
"394",7,"Oregon",45,"Colorado",3,TRUE
"395",7,"Georgia",17,"South Carolina",20,TRUE
"396",7,"Indiana",35,"Rutgers",0,TRUE
"397",7,"Texas",27,"Oklahoma",34,TRUE
"398",7,"Temple",30,"Memphis",28,TRUE
"399",7,"Purdue",40,"Maryland",14,TRUE
"400",7,"Tennessee",20,"Mississippi State",10,TRUE
"401",7,"Illinois",25,"Michigan",42,TRUE
"402",7,"Western Michigan",38,"Miami (OH)",16,TRUE
"403",7,"Bowling Green",20,"Toledo",7,TRUE
"404",7,"Duke",41,"Georgia Tech",23,TRUE
"405",7,"Eastern Michigan",23,"Ball State",29,TRUE
"406",7,"Marshall",31,"Old Dominion",17,TRUE
"407",7,"Central Michigan",42,"New Mexico State",28,FALSE
"408",7,"Houston",23,"Cincinnati",38,TRUE
"409",7,"South Florida",27,"BYU",23,FALSE
"410",7,"Wisconsin",38,"Michigan State",0,TRUE
"411",7,"Texas A&M",28,"Alabama",47,TRUE
"412",7,"Clemson",45,"Florida State",14,TRUE
"413",7,"Ohio",36,"Northern Illinois",39,TRUE
"414",7,"Arizona State",38,"Washington State",34,TRUE
"415",7,"Akron",3,"Kent State",26,TRUE
"416",7,"Tulane",49,"Connecticut",7,TRUE
"417",7,"West Virginia",14,"Iowa State",38,TRUE
"418",7,"Vanderbilt",10,"UNLV",34,FALSE
"419",7,"Nevada",41,"San José State",38,TRUE
"420",7,"Baylor",33,"Texas Tech",30,TRUE
"421",7,"Florida Atlantic",28,"Middle Tennessee",13,TRUE
"422",7,"Virginia Tech",34,"Rhode Island",17,FALSE
"423",7,"Coastal Carolina",21,"Georgia State",31,TRUE
"424",7,"UT San Antonio",14,"UAB",33,TRUE
"425",7,"Air Force",43,"Fresno State",24,TRUE
"426",7,"Florida International",48,"Charlotte",23,TRUE
"427",7,"Missouri",38,"Ole Miss",27,TRUE
"428",7,"Southern Mississippi",45,"North Texas",27,TRUE
"429",7,"Louisiana Tech",69,"UMass",21,FALSE
"430",7,"Western Kentucky",17,"Army",8,FALSE
"431",7,"Kentucky",24,"Arkansas",20,TRUE
"432",7,"Tulsa",17,"Navy",45,TRUE
"433",7,"Iowa",12,"Penn State",17,TRUE
"434",7,"Minnesota",34,"Nebraska",7,TRUE
"435",7,"Wake Forest",59,"Louisville",62,TRUE
"436",7,"Notre Dame",30,"USC",27,FALSE
"437",7,"Oregon State",7,"Utah",52,TRUE
"438",7,"LSU",42,"Florida",28,TRUE
"439",7,"Boise State",59,"Hawai'i",37,TRUE
"440",7,"San Diego State",26,"Wyoming",22,TRUE
"441",7,"Arizona",27,"Washington",51,TRUE
"442",8,"Troy",37,"South Alabama",13,TRUE
"443",8,"Arkansas State",20,"Louisiana",37,TRUE
"444",8,"Stanford",16,"UCLA",34,TRUE
"445",8,"Florida Atlantic",31,"Marshall",36,TRUE
"446",8,"Syracuse",20,"Pittsburgh",27,TRUE
"447",8,"Northwestern",3,"Ohio State",52,TRUE
"448",8,"Fresno State",56,"UNLV",27,TRUE
"449",8,"Boston College",45,"NC State",24,TRUE
"450",8,"South Carolina",27,"Florida",38,TRUE
"451",8,"Iowa",26,"Purdue",20,TRUE
"452",8,"Oklahoma",52,"West Virginia",14,TRUE
"453",8,"Miami",21,"Georgia Tech",28,TRUE
"454",8,"Ohio",45,"Kent State",38,TRUE
"455",8,"Connecticut",17,"Houston",24,TRUE
"456",8,"Illinois",24,"Wisconsin",23,TRUE
"457",8,"Texas Tech",24,"Iowa State",34,TRUE
"458",8,"Arkansas",10,"Auburn",51,TRUE
"459",8,"Louisville",10,"Clemson",45,TRUE
"460",8,"Bowling Green",20,"Central Michigan",38,TRUE
"461",8,"Ball State",52,"Toledo",14,TRUE
"462",8,"Miami (OH)",27,"Northern Illinois",24,TRUE
"463",8,"Kansas State",24,"TCU",17,TRUE
"464",8,"California",17,"Oregon State",21,TRUE
"465",8,"Wyoming",23,"New Mexico",10,TRUE
"466",8,"Georgia Southern",30,"Coastal Carolina",27,TRUE
"467",8,"Virginia Tech",43,"North Carolina",41,TRUE
"468",8,"Navy",35,"South Florida",3,TRUE
"469",8,"Mississippi State",13,"LSU",36,TRUE
"470",8,"Appalachian State",52,"Louisiana Monroe",7,TRUE
"471",8,"SMU",45,"Temple",21,TRUE
"472",8,"Rutgers",7,"Minnesota",42,TRUE
